name,birthday,nationality
Tom Hanks,1956-07-09,USA
Julia Roberts,1967-10-28,USA
Wagner Moura,1976-06-27,BR
Sandra Bullock,1964-07-26,USA
Gisele Bundchen,1980-07-20,BR
Denzel Washington,1954-12-28,USA
Camila Mendes,1994-06-29,BR
Leonardo DiCaprio,1974-11-11,USA
Scarlett Johansson,1984-11-22,USA
Brad Pitt,1963-12-18,USA
Angelina Jolie,1975-06-04,USA
Johnny Depp,1963-06-09,USA
Natalie Portman,1981-06-09,IL
Robert Downey Jr.,1965-04-04,USA
Chris Evans,1981-06-13,USA
Chris Hemsworth,1983-08-11,AU
Emma Watson,1990-04-15,UK
Daniel Radcliffe,1989-07-23,UK
Keanu Reeves,1964-09-02,CA
Morgan Freeman,1937-06-01,USA
Will Smith,1968-09-25,USA
Margot Robbie,1990-07-02,AU
Joaquin Phoenix,1974-10-28,USA
Gal Gadot,1985-04-30,IL
Millie Bobby Brown,2004-02-19,UK
Henry Cavill,1983-05-05,UK
Bruna Marquezine,1995-08-04,BR
Rodrigo Santoro,1975-08-22,BR
Alice Braga,1983-04-15,BR
Selton Mello,1972-12-30,BR